id,category,product_name
2510,clothing,Gap Sweater
2511,food,Nutella
2512,electronics,Google Nest Hub
2513,electronics,MacBook Pro
2514,food,Pringles Original
2515,sports,Mizuno Volleyball
2516,books,Animal Farm
2517,electronics,MacBook Pro
2518,clothing,Tommy Hilfiger Polo
2519,electronics,Surface Pro 8
2520,food,Twix
2521,sports,Nike Soccer Ball
2522,sports,Trek Mountain Bike
2523,clothing,Uniqlo Shirt
2524,food,Doritos
2525,books,The Great Gatsby
2526,toys,Crayola Art Set
2527,books,The Great Gatsby
2528,electronics,Apple Watch Series 7
2529,books,The Great Gatsby
2530,sports,Spalding Basketball
2531,clothing,Uniqlo Shirt
2532,clothing,Patagonia Vest
2533,electronics,Canon EOS R5
2534,clothing,Zara Dress
2535,sports,Mizuno Volleyball
2536,electronics,Amazon Echo
2537,toys,Lego Classic Set
2538,food,Heinz Ketchup
2539,toys,UNO Cards
2540,toys,Beyblade
2541,clothing,Reebok Tracksuit
2542,toys,Rubik’s Cube
2543,toys,Teddy Bear
2544,books,The Catcher in the Rye
2545,clothing,Patagonia Vest
2546,sports,Wilson Tennis Racket
2547,toys,Transformers Action Figure
2548,food,Doritos
2549,books,The Alchemist
2550,clothing,Under Armour Shorts
2551,clothing,Reebok Tracksuit
2552,clothing,Columbia Fleece
2553,clothing,Reebok Tracksuit
2554,toys,RC Car
2555,food,Twix
2556,food,KitKat
2557,food,Doritos
2558,electronics,Dell XPS 13
2559,food,Twix
2560,electronics,PlayStation 5
2561,clothing,Nike Air Max
2562,sports,Mizuno Volleyball
2563,sports,Titleist Golf Balls
2564,food,Pringles Original
2565,food,Sprite
2566,books,Harry Potter
2567,food,Oreo Cookies
2568,sports,Bauer Hockey Stick
2569,books,The Da Vinci Code
2570,electronics,iPhone 14
2571,toys,Furby
2572,electronics,Canon EOS R5
2573,clothing,Uniqlo Shirt
2574,toys,Nerf Blaster
2575,sports,Nike Soccer Ball
2576,clothing,Columbia Fleece
2577,books,Animal Farm
2578,clothing,Puma Sneakers
2579,books,Animal Farm
2580,food,Pringles Original
2581,clothing,North Face Jacket
2582,books,Brave New World
2583,sports,Yonex Badminton Racket
2584,food,Pepsi
2585,sports,Wilson Tennis Racket
2586,sports,Everlast Boxing Gloves
2587,electronics,GoPro Hero 10
2588,books,War and Peace
2589,food,Nutella
2590,books,The Hobbit
2591,food,Coca-Cola
2592,books,War and Peace
2593,electronics,Kindle Paperwhite
2594,electronics,Samsung Galaxy S22
2595,sports,Mizuno Volleyball
2596,sports,Wilson Tennis Racket
2597,toys,Hot Wheels Track
2598,food,Oreo Cookies
2599,books,The Great Gatsby
2600,books,To Kill a Mockingbird
2601,electronics,Google Nest Hub
2602,clothing,Columbia Fleece
2603,food,Coca-Cola
2604,sports,Nike Soccer Ball
2605,books,The Lord of the Rings
2606,clothing,Patagonia Vest
2607,clothing,Zara Dress
2608,electronics,Sony WH-1000XM4
2609,books,The Catcher in the Rye
2610,sports,Wilson Tennis Racket
2611,electronics,Apple Watch Series 7
2612,toys,UNO Cards
2613,books,The Lord of the Rings
2614,food,Snickers Bar
2615,electronics,Google Nest Hub
2616,food,Twix
2617,clothing,Reebok Tracksuit
2618,clothing,Tommy Hilfiger Polo
2619,books,The Catcher in the Rye
2620,books,Brave New World
2621,toys,Teddy Bear
2622,food,M&M’s
2623,books,War and Peace
2624,sports,Spalding Basketball
2625,sports,Spalding Basketball
2626,sports,Mizuno Volleyball
2627,toys,RC Car
2628,toys,Crayola Art Set
2629,food,Lays Classic Chips
2630,clothing,Adidas T-shirt
2631,clothing,Under Armour Shorts
2632,sports,Yonex Badminton Racket
2633,sports,Spalding Basketball
2634,food,Peanut Butter
2635,sports,Molten Handball
2636,sports,Speedo Swim Goggles
2637,toys,Monopoly Board Game
2638,clothing,Reebok Tracksuit
2639,sports,Nike Soccer Ball
2640,sports,Wilson Tennis Racket
2641,food,Lays Classic Chips
2642,clothing,Calvin Klein Underwear
2643,electronics,MacBook Pro
2644,sports,Titleist Golf Balls
2645,clothing,Patagonia Vest
2646,clothing,Adidas T-shirt
2647,toys,Jenga
2648,sports,Adidas Running Shoes
2649,electronics,Apple Watch Series 7
2650,electronics,Nintendo Switch
2651,electronics,GoPro Hero 10
2652,books,The Da Vinci Code
2653,toys,Nerf Blaster
2654,toys,RC Car
2655,sports,Everlast Boxing Gloves
2656,electronics,Surface Pro 8
2657,clothing,Reebok Tracksuit
2658,electronics,Canon EOS R5
2659,electronics,Samsung Galaxy S22
2660,sports,Molten Handball
2661,toys,RC Car
2662,food,Pepsi
2663,books,The Da Vinci Code
2664,books,The Hobbit
2665,toys,Furby
2666,sports,Trek Mountain Bike
2667,books,Brave New World
2668,sports,Speedo Swim Goggles
2669,toys,Teddy Bear
2670,sports,Adidas Running Shoes
2671,electronics,Amazon Echo
2672,clothing,Reebok Tracksuit
2673,sports,Rawlings Baseball Glove
2674,sports,Everlast Boxing Gloves
2675,electronics,Fitbit Versa 3
2676,toys,Jenga
2677,food,Pepsi
2678,sports,Everlast Boxing Gloves
2679,books,To Kill a Mockingbird
2680,sports,Rawlings Baseball Glove
2681,sports,Yonex Badminton Racket
2682,food,Sprite
2683,clothing,Zara Dress
2684,electronics,Dell XPS 13
2685,food,Coca-Cola
2686,clothing,Tommy Hilfiger Polo
2687,sports,Trek Mountain Bike
2688,books,The Catcher in the Rye
2689,food,Oreo Cookies
2690,electronics,Fitbit Versa 3
2691,toys,Nerf Blaster
2692,sports,Spalding Basketball
2693,electronics,iPhone 14
2694,electronics,Apple Watch Series 7
2695,food,Sprite
2696,books,Brave New World
2697,sports,Spalding Basketball
2698,sports,Trek Mountain Bike
2699,electronics,Dell XPS 13
2700,toys,Furby
2701,sports,Wilson Tennis Racket
2702,food,Lays Classic Chips
2703,clothing,Tommy Hilfiger Polo
2704,sports,Nike Soccer Ball
2705,books,The Hobbit
2706,toys,Rubik’s Cube
2707,books,Harry Potter
2708,clothing,Nike Air Max
2709,sports,Franklin Baseball Bat
2710,electronics,Dell XPS 13
2711,electronics,Nintendo Switch
2712,clothing,Calvin Klein Underwear
2713,clothing,Calvin Klein Underwear
2714,food,Heinz Ketchup
2715,books,The Alchemist
2716,clothing,H&M Hoodie
2717,electronics,Google Nest Hub
2718,sports,Bauer Hockey Stick
2719,sports,Wilson Tennis Racket
2720,toys,Play-Doh Set
2721,food,M&M’s
2722,food,Oreo Cookies
2723,food,Pepsi
2724,books,The Da Vinci Code
2725,food,KitKat
2726,books,Moby Dick
2727,electronics,Kindle Paperwhite
2728,food,Twix
2729,books,War and Peace
2730,toys,Play-Doh Set
2731,clothing,Calvin Klein Underwear
2732,clothing,Adidas T-shirt
2733,books,Dune
2734,books,1984
2735,clothing,Uniqlo Shirt
2736,sports,Titleist Golf Balls
2737,electronics,Fitbit Versa 3
2738,toys,Furby
2739,toys,Barbie Dreamhouse
2740,food,Pringles Original
2741,books,The Hobbit
2742,toys,Beyblade
2743,sports,Spalding Basketball
2744,toys,Transformers Action Figure
2745,clothing,Patagonia Vest
2746,electronics,Canon EOS R5
2747,clothing,Levi’s Jeans
2748,electronics,Dell XPS 13
2749,books,The Catcher in the Rye
2750,electronics,Amazon Echo
2751,toys,Teddy Bear
2752,clothing,Nike Air Max
2753,sports,Nike Soccer Ball
2754,clothing,Gap Sweater
2755,toys,Beyblade
2756,food,Heinz Ketchup
2757,clothing,Levi’s Jeans
2758,sports,Titleist Golf Balls
2759,food,KitKat
2760,toys,Hot Wheels Track
2761,food,Twix
2762,electronics,Surface Pro 8
2763,clothing,Puma Sneakers
2764,electronics,MacBook Pro
2765,toys,Nerf Blaster
2766,electronics,MacBook Pro
2767,clothing,Nike Air Max
2768,toys,Rubik’s Cube
2769,toys,Hot Wheels Track
2770,clothing,Under Armour Shorts
2771,books,1984
2772,electronics,Dell XPS 13
2773,food,Lays Classic Chips
2774,books,Moby Dick
2775,toys,Nerf Blaster
2776,electronics,Sony WH-1000XM4
2777,toys,Teddy Bear
2778,electronics,MacBook Pro
2779,books,Animal Farm
2780,sports,Spalding Basketball
2781,food,Peanut Butter
2782,clothing,Columbia Fleece
2783,clothing,North Face Jacket
2784,food,Snickers Bar
2785,electronics,MacBook Pro
2786,books,The Great Gatsby
2787,toys,Crayola Art Set
2788,sports,Yonex Badminton Racket
2789,food,Snickers Bar
2790,food,Nutella
2791,electronics,iPhone 14
2792,electronics,Amazon Echo
2793,food,Coca-Cola
2794,clothing,Columbia Fleece
2795,books,1984
2796,electronics,Samsung Galaxy S22
2797,toys,Monopoly Board Game
2798,toys,Jenga
2799,books,The Da Vinci Code
2800,books,War and Peace
2801,toys,Teddy Bear
2802,toys,Rubik’s Cube
2803,books,Moby Dick
2804,clothing,Levi’s Jeans
2805,toys,Nerf Blaster
2806,food,Pringles Original
2807,books,The Catcher in the Rye
2808,sports,Yonex Badminton Racket
2809,electronics,Google Nest Hub
2810,sports,Franklin Baseball Bat
2811,clothing,Puma Sneakers
2812,books,Harry Potter
2813,toys,Teddy Bear
2814,clothing,Patagonia Vest
2815,sports,Everlast Boxing Gloves
2816,toys,Furby
2817,toys,UNO Cards
2818,sports,Trek Mountain Bike
2819,electronics,Surface Pro 8
2820,sports,Trek Mountain Bike
2821,electronics,Google Nest Hub
2822,clothing,Under Armour Shorts
2823,electronics,iPhone 14
2824,clothing,Zara Dress
2825,food,Nutella
2826,books,Dune
2827,food,Heinz Ketchup
2828,electronics,Kindle Paperwhite
2829,toys,Teddy Bear
2830,books,The Da Vinci Code
2831,food,Pringles Original
2832,toys,Barbie Dreamhouse
2833,books,Harry Potter
2834,toys,Beyblade
2835,electronics,MacBook Pro
2836,food,Snickers Bar
2837,electronics,Apple Watch Series 7
2838,books,Animal Farm
2839,electronics,Fitbit Versa 3
2840,clothing,Calvin Klein Underwear
2841,clothing,Calvin Klein Underwear
2842,books,The Da Vinci Code
2843,toys,Rubik’s Cube
2844,sports,Adidas Running Shoes
2845,books,The Lord of the Rings
2846,toys,Teddy Bear
2847,toys,Beyblade
2848,sports,Franklin Baseball Bat
2849,books,The Catcher in the Rye
2850,books,Moby Dick
2851,toys,Play-Doh Set
2852,clothing,Tommy Hilfiger Polo
2853,electronics,Samsung Galaxy S22
2854,food,Nutella
2855,food,Red Bull
2856,sports,Mizuno Volleyball
2857,electronics,Kindle Paperwhite
2858,electronics,GoPro Hero 10
2859,books,1984
2860,food,Doritos
2861,food,Heinz Ketchup
2862,electronics,Amazon Echo
2863,sports,Nike Soccer Ball
2864,sports,Yonex Badminton Racket
2865,sports,Trek Mountain Bike
2866,books,The Catcher in the Rye
2867,clothing,Tommy Hilfiger Polo
2868,clothing,H&M Hoodie
2869,books,Brave New World
2870,electronics,Dell XPS 13
2871,electronics,Dell XPS 13
2872,toys,Nerf Blaster
2873,clothing,Nike Air Max
2874,toys,Barbie Dreamhouse
2875,electronics,Google Nest Hub
2876,clothing,H&M Hoodie
2877,toys,Nerf Blaster
2878,food,Peanut Butter
2879,clothing,Under Armour Shorts
2880,toys,Barbie Dreamhouse
2881,books,The Hobbit
2882,food,Oreo Cookies
2883,food,Pringles Original
2884,clothing,Levi’s Jeans
2885,food,Pringles Original
2886,electronics,Sony WH-1000XM4
2887,toys,Crayola Art Set
2888,electronics,Surface Pro 8
2889,electronics,Google Nest Hub
2890,electronics,Kindle Paperwhite
2891,food,Lays Classic Chips
2892,food,Lays Classic Chips
2893,sports,Trek Mountain Bike
2894,clothing,Uniqlo Shirt
2895,food,KitKat
2896,toys,Nerf Blaster
2897,sports,Mizuno Volleyball
2898,food,Pringles Original
2899,sports,Molten Handball
2900,food,Peanut Butter
2901,sports,Molten Handball
2902,food,Lays Classic Chips
2903,books,Harry Potter
2904,electronics,GoPro Hero 10
2905,food,KitKat
2906,sports,Mizuno Volleyball
2907,books,The Alchemist
2908,sports,Trek Mountain Bike
2909,books,War and Peace
2910,sports,Speedo Swim Goggles
2911,clothing,Gap Sweater
2912,food,Doritos
2913,sports,Salomon Ski Boots
2914,toys,Transformers Action Figure
2915,electronics,MacBook Pro
2916,books,The Catcher in the Rye
2917,electronics,Google Nest Hub
2918,electronics,Fitbit Versa 3
2919,electronics,Sony WH-1000XM4
2920,electronics,Kindle Paperwhite
2921,books,1984
2922,food,Peanut Butter
2923,electronics,Dell XPS 13
2924,food,Heinz Ketchup
2925,food,Pepsi
2926,electronics,Google Nest Hub
2927,sports,Everlast Boxing Gloves
2928,electronics,Amazon Echo
2929,books,War and Peace
2930,food,Doritos
2931,electronics,Fitbit Versa 3
2932,clothing,Gap Sweater
2933,sports,Rawlings Baseball Glove
2934,sports,Nike Soccer Ball
2935,food,Doritos
2936,clothing,Reebok Tracksuit
2937,electronics,GoPro Hero 10
2938,electronics,Samsung Galaxy S22
2939,sports,Yonex Badminton Racket
2940,food,Sprite
2941,food,Pepsi
2942,clothing,H&M Hoodie
2943,electronics,MacBook Pro
2944,toys,Jenga
2945,books,The Hobbit
2946,clothing,Under Armour Shorts
2947,toys,Jenga
2948,books,Dune
2949,toys,Nerf Blaster
2950,sports,Franklin Baseball Bat
2951,clothing,Zara Dress
2952,sports,Yonex Badminton Racket
2953,electronics,Nintendo Switch
2954,sports,Rawlings Baseball Glove
2955,clothing,North Face Jacket
2956,clothing,H&M Hoodie
2957,books,The Da Vinci Code
2958,clothing,Tommy Hilfiger Polo
2959,sports,Franklin Baseball Bat
2960,food,Sprite
2961,toys,Furby
2962,sports,Bauer Hockey Stick
2963,sports,Nike Soccer Ball
2964,electronics,GoPro Hero 10
2965,food,Nutella
2966,books,Pride and Prejudice
2967,food,KitKat
2968,clothing,Puma Sneakers
2969,electronics,Samsung Galaxy S22
2970,food,Pepsi
2971,electronics,Apple Watch Series 7
2972,toys,Monopoly Board Game
2973,books,Dune
2974,food,Heinz Ketchup
2975,food,Coca-Cola
2976,books,Moby Dick
2977,sports,Everlast Boxing Gloves
2978,electronics,Apple Watch Series 7
2979,sports,Mizuno Volleyball
2980,electronics,Google Nest Hub
2981,electronics,Sony WH-1000XM4
2982,electronics,Samsung Galaxy S22
2983,clothing,North Face Jacket
2984,books,Brave New World
2985,sports,Yonex Badminton Racket
2986,food,M&M’s
2987,sports,Molten Handball
2988,books,1984
2989,books,To Kill a Mockingbird
2990,toys,UNO Cards
2991,books,The Alchemist
2992,clothing,Tommy Hilfiger Polo
2993,clothing,Uniqlo Shirt
2994,clothing,North Face Jacket
2995,food,Peanut Butter
2996,toys,Jenga
2997,clothing,Zara Dress
2998,books,1984
2999,clothing,H&M Hoodie
3000,sports,Wilson Tennis Racket
3001,electronics,Sony WH-1000XM4
3002,books,The Alchemist
3003,sports,Everlast Boxing Gloves
3004,electronics,Samsung Galaxy S22
3005,electronics,Dell XPS 13
3006,toys,Barbie Dreamhouse
3007,sports,Adidas Running Shoes
3008,food,Pepsi
3009,clothing,Levi’s Jeans
3010,electronics,Dell XPS 13
3011,electronics,Google Nest Hub
3012,books,War and Peace
3013,books,Moby Dick
3014,sports,Speedo Swim Goggles
3015,clothing,Adidas T-shirt
3016,books,Dune
3017,clothing,Tommy Hilfiger Polo
3018,food,Lays Classic Chips
3019,sports,Franklin Baseball Bat
3020,toys,UNO Cards
3021,books,The Lord of the Rings
3022,toys,Transformers Action Figure
3023,sports,Wilson Tennis Racket
3024,clothing,Tommy Hilfiger Polo
3025,electronics,Samsung Galaxy S22
3026,toys,Jenga
3027,sports,Titleist Golf Balls
3028,books,The Lord of the Rings
3029,sports,Speedo Swim Goggles
3030,sports,Nike Soccer Ball
3031,toys,Barbie Dreamhouse
3032,toys,RC Car
3033,sports,Mizuno Volleyball
3034,electronics,Google Nest Hub
3035,food,Pepsi
3036,sports,Adidas Running Shoes
3037,toys,Crayola Art Set
3038,electronics,iPhone 14
3039,electronics,Sony WH-1000XM4
3040,clothing,Under Armour Shorts
3041,toys,Furby
3042,toys,Furby
3043,sports,Spalding Basketball
3044,food,Pepsi
3045,food,Heinz Ketchup
3046,electronics,Google Nest Hub
3047,food,Peanut Butter
3048,food,KitKat
3049,food,Coca-Cola
3050,electronics,MacBook Pro
3051,toys,Furby
3052,electronics,Nintendo Switch
3053,food,Pringles Original
3054,electronics,Dell XPS 13
3055,clothing,Uniqlo Shirt
3056,toys,Beyblade
3057,toys,Hot Wheels Track
3058,sports,Rawlings Baseball Glove
3059,food,Heinz Ketchup
3060,sports,Everlast Boxing Gloves
3061,sports,Franklin Baseball Bat
3062,toys,Play-Doh Set
3063,electronics,Nintendo Switch
3064,food,Pepsi
3065,electronics,Kindle Paperwhite
3066,books,Dune
3067,books,Harry Potter
3068,clothing,Uniqlo Shirt
3069,sports,Mizuno Volleyball
3070,food,Pepsi
3071,sports,Franklin Baseball Bat
3072,books,War and Peace
3073,food,Red Bull
3074,toys,RC Car
3075,books,1984
3076,toys,RC Car
3077,toys,Monopoly Board Game
3078,books,The Alchemist
3079,food,Red Bull
3080,food,Doritos
3081,food,Red Bull
3082,food,Coca-Cola
3083,toys,Furby
3084,toys,Beyblade
3085,books,The Catcher in the Rye
3086,sports,Mizuno Volleyball
3087,toys,Crayola Art Set
3088,electronics,PlayStation 5
3089,electronics,Amazon Echo
3090,food,Heinz Ketchup
3091,books,Animal Farm
3092,food,Heinz Ketchup
3093,clothing,Levi’s Jeans
3094,food,Pepsi
3095,clothing,Uniqlo Shirt
3096,electronics,Kindle Paperwhite
3097,food,M&M’s
3098,sports,Bauer Hockey Stick
3099,electronics,Apple Watch Series 7
3100,sports,Franklin Baseball Bat
3101,clothing,North Face Jacket
3102,electronics,Samsung Galaxy S22
3103,books,The Hobbit
3104,clothing,Reebok Tracksuit
3105,clothing,H&M Hoodie
3106,food,Peanut Butter
3107,clothing,Nike Air Max
3108,books,To Kill a Mockingbird
3109,clothing,Tommy Hilfiger Polo
3110,food,Heinz Ketchup
3111,electronics,Samsung Galaxy S22
3112,sports,Molten Handball
3113,books,The Great Gatsby
3114,toys,RC Car
3115,books,Animal Farm
3116,sports,Trek Mountain Bike
3117,food,Coca-Cola
3118,sports,Spalding Basketball
3119,electronics,Dell XPS 13
3120,toys,Transformers Action Figure
3121,sports,Adidas Running Shoes
3122,toys,Furby
3123,electronics,Nintendo Switch
3124,toys,RC Car
3125,food,KitKat
3126,sports,Nike Soccer Ball
3127,food,Peanut Butter
3128,food,Pepsi
3129,sports,Adidas Running Shoes
3130,sports,Mizuno Volleyball
3131,sports,Adidas Running Shoes
3132,food,KitKat
3133,food,Heinz Ketchup
3134,clothing,Columbia Fleece
3135,sports,Trek Mountain Bike
3136,books,Dune
3137,electronics,Surface Pro 8
3138,food,Sprite
3139,sports,Titleist Golf Balls
3140,sports,Bauer Hockey Stick
3141,books,Animal Farm
3142,sports,Rawlings Baseball Glove
3143,electronics,Google Nest Hub
3144,food,Pringles Original
3145,clothing,Levi’s Jeans
3146,books,The Da Vinci Code
3147,toys,Jenga
3148,books,1984
3149,sports,Nike Soccer Ball
3150,clothing,Patagonia Vest
3151,books,To Kill a Mockingbird
3152,toys,Monopoly Board Game
3153,electronics,GoPro Hero 10
3154,sports,Everlast Boxing Gloves
3155,books,1984
3156,food,KitKat
3157,clothing,Levi’s Jeans
3158,books,The Hobbit
3159,books,War and Peace
3160,sports,Trek Mountain Bike
3161,food,Heinz Ketchup
3162,books,Brave New World
3163,electronics,Nintendo Switch
3164,clothing,Adidas T-shirt
3165,books,Brave New World
3166,sports,Yonex Badminton Racket
3167,sports,Everlast Boxing Gloves
3168,toys,Teddy Bear
3169,electronics,Canon EOS R5
3170,toys,Rubik’s Cube
3171,food,Peanut Butter
3172,food,Nutella
3173,sports,Salomon Ski Boots
3174,clothing,Uniqlo Shirt
3175,toys,Barbie Dreamhouse
3176,food,Pringles Original
3177,books,Animal Farm
3178,sports,Wilson Tennis Racket
3179,books,Moby Dick
3180,food,Pringles Original
3181,food,KitKat
3182,clothing,Under Armour Shorts
3183,food,Heinz Ketchup
3184,electronics,Surface Pro 8
3185,food,M&M’s
3186,sports,Adidas Running Shoes
3187,toys,RC Car
3188,clothing,Reebok Tracksuit
3189,books,War and Peace
3190,toys,Furby
3191,sports,Spalding Basketball
3192,food,Oreo Cookies
3193,electronics,Google Nest Hub
3194,electronics,Fitbit Versa 3
3195,sports,Speedo Swim Goggles
3196,clothing,Nike Air Max
3197,clothing,Columbia Fleece
3198,food,Lays Classic Chips
3199,toys,Teddy Bear
3200,toys,Crayola Art Set
3201,electronics,Canon EOS R5
3202,food,Lays Classic Chips
3203,books,The Alchemist
3204,toys,Rubik’s Cube
3205,books,The Lord of the Rings
3206,clothing,Under Armour Shorts
3207,sports,Wilson Tennis Racket
3208,books,Harry Potter
3209,sports,Bauer Hockey Stick
3210,toys,Monopoly Board Game
3211,electronics,iPhone 14
3212,books,1984
3213,electronics,Samsung Galaxy S22
3214,sports,Wilson Tennis Racket
3215,sports,Spalding Basketball
3216,clothing,North Face Jacket
3217,food,KitKat
3218,clothing,Adidas T-shirt
3219,food,Snickers Bar
3220,sports,Rawlings Baseball Glove
3221,toys,Crayola Art Set
3222,electronics,PlayStation 5
3223,electronics,Canon EOS R5
3224,books,Harry Potter
3225,food,Lays Classic Chips
3226,books,The Alchemist
3227,books,Pride and Prejudice
3228,sports,Trek Mountain Bike
3229,sports,Bauer Hockey Stick
3230,toys,Transformers Action Figure
3231,electronics,Dell XPS 13
3232,electronics,Google Nest Hub
3233,food,Doritos
3234,toys,Teddy Bear
3235,electronics,Apple Watch Series 7
3236,books,Moby Dick
3237,electronics,PlayStation 5
3238,food,Oreo Cookies
3239,electronics,Kindle Paperwhite
3240,toys,Transformers Action Figure
3241,clothing,Gap Sweater
3242,food,Pringles Original
3243,electronics,Amazon Echo
3244,clothing,Nike Air Max
3245,sports,Yonex Badminton Racket
3246,electronics,Amazon Echo
3247,food,KitKat
3248,electronics,Dell XPS 13
3249,toys,Beyblade
3250,clothing,Patagonia Vest
3251,electronics,MacBook Pro
3252,sports,Salomon Ski Boots
3253,books,Brave New World
3254,electronics,Nintendo Switch
3255,sports,Molten Handball
3256,toys,UNO Cards
3257,food,Lays Classic Chips
3258,toys,Jenga
3259,toys,Lego Classic Set
3260,toys,Teddy Bear
3261,toys,Teddy Bear
3262,food,Lays Classic Chips
3263,sports,Adidas Running Shoes
3264,books,The Hobbit
3265,food,Doritos
3266,books,To Kill a Mockingbird
3267,books,Brave New World
3268,electronics,Surface Pro 8
3269,sports,Nike Soccer Ball
3270,toys,Crayola Art Set
3271,toys,Teddy Bear
3272,books,The Alchemist
3273,food,M&M’s
3274,sports,Bauer Hockey Stick
3275,food,KitKat
3276,sports,Adidas Running Shoes
3277,electronics,Sony WH-1000XM4
3278,clothing,Calvin Klein Underwear
3279,books,Harry Potter
3280,books,The Hobbit
3281,toys,Furby
3282,books,The Lord of the Rings
3283,food,Heinz Ketchup
3284,food,Twix
3285,food,Oreo Cookies
3286,food,Red Bull
3287,books,The Lord of the Rings
3288,books,Moby Dick
3289,clothing,Gap Sweater
3290,books,Dune
3291,clothing,North Face Jacket
3292,food,Lays Classic Chips
3293,sports,Yonex Badminton Racket
3294,books,The Da Vinci Code
3295,books,1984
3296,food,Oreo Cookies
3297,sports,Titleist Golf Balls
3298,toys,Beyblade
3299,electronics,Apple Watch Series 7
3300,sports,Everlast Boxing Gloves
3301,clothing,Zara Dress
3302,food,Heinz Ketchup
3303,food,KitKat
3304,toys,Hot Wheels Track
3305,books,Brave New World
3306,clothing,Adidas T-shirt
3307,food,Red Bull
3308,clothing,Under Armour Shorts
3309,electronics,Canon EOS R5
3310,food,Coca-Cola
3311,sports,Adidas Running Shoes
3312,toys,Furby
3313,books,Brave New World
3314,sports,Spalding Basketball
3315,books,Moby Dick
3316,sports,Speedo Swim Goggles
3317,clothing,Adidas T-shirt
3318,sports,Rawlings Baseball Glove
3319,books,1984
3320,books,The Great Gatsby
3321,clothing,Reebok Tracksuit
3322,food,Oreo Cookies
3323,books,The Catcher in the Rye
3324,toys,Monopoly Board Game
3325,books,1984
3326,food,Twix
3327,clothing,Adidas T-shirt
3328,food,Red Bull
3329,books,War and Peace
3330,sports,Salomon Ski Boots
3331,electronics,Kindle Paperwhite
3332,clothing,H&M Hoodie
3333,books,Pride and Prejudice
3334,sports,Mizuno Volleyball
3335,toys,Crayola Art Set
3336,electronics,Google Nest Hub
3337,food,M&M’s
3338,sports,Molten Handball
3339,toys,Transformers Action Figure
3340,toys,Nerf Blaster
3341,books,The Alchemist
3342,books,Pride and Prejudice
3343,toys,RC Car
3344,electronics,GoPro Hero 10
3345,sports,Titleist Golf Balls
3346,sports,Wilson Tennis Racket
3347,clothing,H&M Hoodie
3348,electronics,Amazon Echo
3349,toys,Jenga
3350,books,The Hobbit
3351,toys,Crayola Art Set
3352,sports,Trek Mountain Bike
3353,food,Nutella
3354,electronics,MacBook Pro
3355,clothing,Zara Dress
3356,toys,Rubik’s Cube
3357,electronics,Fitbit Versa 3
3358,books,The Great Gatsby
3359,food,Nutella
3360,toys,Play-Doh Set
3361,electronics,Sony WH-1000XM4
3362,food,Coca-Cola
3363,food,Lays Classic Chips
3364,sports,Speedo Swim Goggles
3365,clothing,Levi’s Jeans
3366,books,Harry Potter
3367,sports,Rawlings Baseball Glove
3368,sports,Salomon Ski Boots
3369,books,The Hobbit
3370,food,Nutella
3371,books,Animal Farm
3372,food,Doritos
3373,toys,Lego Classic Set
3374,sports,Adidas Running Shoes
3375,sports,Mizuno Volleyball
3376,food,Red Bull
3377,sports,Wilson Tennis Racket
3378,clothing,Tommy Hilfiger Polo
3379,sports,Molten Handball
3380,books,The Great Gatsby
3381,electronics,Canon EOS R5
3382,clothing,Levi’s Jeans
3383,books,Harry Potter
3384,electronics,Kindle Paperwhite
3385,toys,Teddy Bear
3386,food,Pringles Original
3387,food,Coca-Cola
3388,toys,RC Car
3389,sports,Titleist Golf Balls
3390,toys,Barbie Dreamhouse
3391,food,KitKat
3392,clothing,North Face Jacket
3393,books,Harry Potter
3394,toys,Transformers Action Figure
3395,electronics,Dell XPS 13
3396,sports,Rawlings Baseball Glove
3397,food,Pringles Original
3398,books,The Lord of the Rings
3399,clothing,Levi’s Jeans
3400,toys,Transformers Action Figure
3401,electronics,Dell XPS 13
3402,clothing,Columbia Fleece
3403,electronics,Nintendo Switch
3404,food,Pringles Original
3405,sports,Spalding Basketball
3406,sports,Bauer Hockey Stick
3407,electronics,Apple Watch Series 7
3408,clothing,Zara Dress
3409,books,1984
3410,food,Lays Classic Chips
3411,books,The Hobbit
3412,books,To Kill a Mockingbird
3413,sports,Nike Soccer Ball
3414,electronics,GoPro Hero 10
3415,toys,RC Car
3416,clothing,Uniqlo Shirt
3417,food,KitKat
3418,sports,Mizuno Volleyball
3419,toys,Crayola Art Set
3420,electronics,MacBook Pro
3421,sports,Wilson Tennis Racket
3422,food,Snickers Bar
3423,clothing,Tommy Hilfiger Polo
3424,electronics,Dell XPS 13
3425,toys,Lego Classic Set
3426,books,The Hobbit
3427,sports,Bauer Hockey Stick
3428,books,Brave New World
3429,food,Oreo Cookies
3430,electronics,Fitbit Versa 3
3431,electronics,iPhone 14
3432,sports,Salomon Ski Boots
3433,books,Dune
3434,electronics,Kindle Paperwhite
3435,food,M&M’s
3436,electronics,PlayStation 5
3437,books,The Lord of the Rings
3438,books,The Da Vinci Code
3439,books,The Great Gatsby
3440,toys,Jenga
3441,food,M&M’s
3442,toys,Nerf Blaster
3443,electronics,PlayStation 5
3444,sports,Trek Mountain Bike
3445,electronics,Google Nest Hub
3446,clothing,Zara Dress
3447,clothing,Columbia Fleece
3448,food,Snickers Bar
3449,books,Harry Potter
3450,clothing,Adidas T-shirt
3451,books,Pride and Prejudice
3452,books,The Catcher in the Rye
3453,toys,Nerf Blaster
3454,food,Nutella
3455,books,Harry Potter
